IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
,NA,520655->520679,100%,326052<-326072,100%,258575<-258596,100%
,NA,NA,NA,520759<-520779,100%,326007<-326028,95%
,NA,NA,NA,NA,NA,520714<-520735,100%
CP020710.1,"Mycoplasmoides pneumoniae strain S34-tet-R chromosome, complete genome",165953->165977,100%,166057<-166077,100%,130430<-130451,95%
,NA,181033->181057,100%,181137<-181157,100%,166012<-166033,100%
,NA,443323->443347,100%,248569<-248589,100%,181092<-181113,100%
,NA,NA,NA,443427<-443447,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443382<-443403,100%
NZ_CP039776.1,"Mycoplasmoides pneumoniae strain 11-994 chromosome, complete genome",165945->165969,100%,166049<-166069,100%,130423<-130444,95%
,NA,181031->181055,100%,181135<-181155,100%,166004<-166025,100%
,NA,443147->443171,100%,248568<-248588,100%,181090<-181111,100%
,NA,NA,NA,443251<-443271,100%,248523<-248544,95%
,NA,NA,NA,NA,NA,443206<-443227,100%
CP179166.1,"Mycoplasmoides pneumoniae strain 90041.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207930<-207951,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520659->520683,100%,326057<-326077,100%,258579<-258600,100%
,NA,NA,NA,520763<-520783,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520718<-520739,100%
CP179162.1,"Mycoplasmoides pneumoniae strain 89934.fasta chromosome, complete genome",243432->243456,100%,243536<-243556,100%,207922<-207943,95%
,NA,258512->258536,100%,258616<-258636,100%,243491<-243512,100%
,NA,520648->520672,100%,326045<-326065,100%,258571<-258592,100%
,NA,NA,NA,520752<-520772,100%,326000<-326021,95%
,NA,NA,NA,NA,NA,520707<-520728,100%
NZ_CP039772.1,"Mycoplasmoides pneumoniae strain 14-637 chromosome, complete genome",165950->165974,100%,166054<-166074,100%,130385<-130406,95%
,NA,179490->179514,100%,179594<-179614,100%,166009<-166030,100%
,NA,441538->441562,100%,246855<-246875,100%,179549<-179570,100%
,NA,NA,NA,441642<-441662,100%,246810<-246831,95%
,NA,NA,NA,NA,NA,441597<-441618,100%
NZ_CP039782.1,"Mycoplasmoides pneumoniae strain 11-129 chromosome, complete genome",165940->165964,100%,166044<-166064,100%,130418<-130439,95%
,NA,181020->181044,100%,181124<-181144,100%,165999<-166020,100%
,NA,443265->443289,100%,248512<-248532,100%,181079<-181100,100%
,NA,NA,NA,443369<-443389,100%,248467<-248488,95%
,NA,NA,NA,NA,NA,443324<-443345,100%
CP179045.1,"Mycoplasmoides pneumoniae strain 88368.fasta chromosome, complete genome",165945->165969,100%,166049<-166069,100%,130435<-130456,95%
,NA,181025->181049,100%,181129<-181149,100%,166004<-166025,100%
,NA,443356->443380,100%,248573<-248593,100%,181084<-181105,100%
,NA,NA,NA,443460<-443480,100%,248528<-248549,95%
,NA,NA,NA,NA,NA,443415<-443436,100%
NZ_CP010550.1,"Mycoplasmoides pneumoniae MAC chromosome, complete genome",165986->166010,100%,166090<-166110,100%,130419<-130440,95%
,NA,179526->179550,100%,179630<-179650,100%,166045<-166066,100%
,NA,441551->441575,100%,246898<-246918,100%,179585<-179606,100%
,NA,NA,NA,441655<-441675,100%,246853<-246874,95%
,NA,NA,NA,NA,NA,441610<-441631,100%
CP010541.1,"Mycoplasma pneumoniae 51494, complete genome",165937->165961,100%,166041<-166061,100%,130427<-130448,95%
,NA,181018->181042,100%,181122<-181142,100%,165996<-166017,100%
,NA,443243->443267,100%,248555<-248575,100%,181077<-181098,100%
,NA,NA,NA,443347<-443367,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443302<-443323,100%
CP178965.1,"Mycoplasmoides pneumoniae strain 87662.fasta chromosome, complete genome",165924->165948,100%,166028<-166048,100%,130416<-130437,95%
,NA,181004->181028,100%,181108<-181128,100%,165983<-166004,100%
,NA,443403->443427,100%,248537<-248557,100%,181063<-181084,100%
,NA,NA,NA,443507<-443527,100%,248492<-248513,95%
,NA,NA,NA,NA,NA,443462<-443483,100%
CP039763.1,"Mycoplasmoides pneumoniae strain 16-462 chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130441<-130462,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443371->443395,100%,248565<-248585,100%,181090<-181111,100%
,NA,NA,NA,443475<-443495,100%,248520<-248541,95%
,NA,NA,NA,NA,NA,443430<-443451,100%
CP039767.1,"Mycoplasmoides pneumoniae strain 16-002 chromosome, complete genome",165912->165936,100%,166016<-166036,100%,130402<-130423,95%
,NA,180992->181016,100%,181096<-181116,100%,165971<-165992,100%
,NA,443367->443391,100%,248524<-248544,100%,181051<-181072,100%
,NA,NA,NA,443471<-443491,100%,248479<-248500,95%
,NA,NA,NA,NA,NA,443426<-443447,100%
CP179149.1,"Mycoplasmoides pneumoniae strain 89831.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520660->520684,100%,326057<-326077,100%,258581<-258602,100%
,NA,NA,NA,520764<-520784,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
CP010545.1,"Mycoplasma pneumoniae 85138, complete genome",165970->165994,100%,166074<-166094,100%,130451<-130472,95%
,NA,181050->181074,100%,181154<-181174,100%,166029<-166050,100%
,NA,443223->443247,100%,248583<-248603,100%,181109<-181130,100%
,NA,NA,NA,443327<-443347,100%,248538<-248559,95%
,NA,NA,NA,NA,NA,443282<-443303,100%
CP178999.1,"Mycoplasmoides pneumoniae strain 87937.fasta chromosome, complete genome",243436->243460,100%,243540<-243560,100%,207926<-207947,95%
,NA,258516->258540,100%,258620<-258640,100%,243495<-243516,100%
,NA,520658->520682,100%,326055<-326075,100%,258575<-258596,100%
,NA,NA,NA,520762<-520782,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
CP179066.1,"Mycoplasmoides pneumoniae strain 88624.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443273->443297,100%,248478<-248498,100%,180991<-181012,100%
,NA,NA,NA,443377<-443397,100%,248433<-248454,95%
,NA,NA,NA,NA,NA,443332<-443353,100%
CP178969.1,"Mycoplasmoides pneumoniae strain 87666.fasta chromosome, complete genome",165850->165874,100%,165954<-165974,100%,130342<-130363,95%
,NA,180930->180954,100%,181034<-181054,100%,165909<-165930,100%
,NA,443267->443291,100%,248473<-248493,100%,180989<-181010,100%
,NA,NA,NA,443371<-443391,100%,248428<-248449,95%
,NA,NA,NA,NA,NA,443326<-443347,100%
CP179096.1,"Mycoplasmoides pneumoniae strain 89193.fasta chromosome, complete genome",243449->243473,100%,243553<-243573,100%,207933<-207954,95%
,NA,258529->258553,100%,258633<-258653,100%,243508<-243529,100%
,NA,520673->520697,100%,326071<-326091,100%,258588<-258609,100%
,NA,NA,NA,520777<-520797,100%,326026<-326047,95%
,NA,NA,NA,NA,NA,520732<-520753,100%
CP010549.1,"Mycoplasma pneumoniae M2592, complete genome",165992->166016,100%,166096<-166116,100%,130397<-130418,95%
,NA,179532->179556,100%,179636<-179656,100%,166051<-166072,100%
,NA,441610->441634,100%,246905<-246925,100%,179591<-179612,100%
,NA,NA,NA,441714<-441734,100%,246860<-246881,95%
,NA,NA,NA,NA,NA,441669<-441690,100%
CP017341.1,"Mycoplasmoides pneumoniae strain 1801 chromosome, complete genome",165981->166005,100%,166085<-166105,100%,130410<-130431,95%
,NA,179521->179545,100%,179625<-179645,100%,166040<-166061,100%
,NA,441590->441614,100%,246909<-246929,100%,179580<-179601,100%
,NA,NA,NA,441694<-441714,100%,246864<-246885,95%
,NA,NA,NA,NA,NA,441649<-441670,100%
CP179092.1,"Mycoplasmoides pneumoniae strain 89185.fasta chromosome, complete genome",165930->165954,100%,166034<-166054,100%,130416<-130437,95%
,NA,181010->181034,100%,181114<-181134,100%,165989<-166010,100%
,NA,443413->443437,100%,248546<-248566,100%,181069<-181090,100%
,NA,NA,NA,443517<-443537,100%,248501<-248522,95%
,NA,NA,NA,NA,NA,443472<-443493,100%
CP179062.1,"Mycoplasmoides pneumoniae strain 88595.fasta chromosome, complete genome",165932->165956,100%,166036<-166056,100%,130417<-130438,95%
,NA,181012->181036,100%,181116<-181136,100%,165991<-166012,100%
,NA,443239->443263,100%,248564<-248584,100%,181071<-181092,100%
,NA,NA,NA,443343<-443363,100%,248519<-248540,95%
,NA,NA,NA,NA,NA,443298<-443319,100%
AP035796.1,"Mycoplasmoides pneumoniae TA7750 DNA, complete genome",166013->166037,100%,166117<-166137,100%,130446<-130467,95%
,NA,179553->179577,100%,179657<-179677,100%,166072<-166093,100%
,NA,441667->441691,100%,246915<-246935,100%,179612<-179633,100%
,NA,NA,NA,441771<-441791,100%,246870<-246891,95%
,NA,NA,NA,NA,NA,441726<-441747,100%
CP179124.1,"Mycoplasmoides pneumoniae strain 89349.fasta chromosome, complete genome",243430->243454,100%,243534<-243554,100%,207920<-207941,95%
,NA,258510->258534,100%,258614<-258634,100%,243489<-243510,100%
,NA,520649->520673,100%,326047<-326067,100%,258569<-258590,100%
,NA,NA,NA,520753<-520773,100%,326002<-326023,95%
,NA,NA,NA,NA,NA,520708<-520729,100%
CP179003.1,"Mycoplasmoides pneumoniae strain 87956.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520654->520678,100%,326053<-326073,100%,258579<-258600,100%
,NA,NA,NA,520758<-520778,100%,326008<-326029,95%
,NA,NA,NA,NA,NA,520713<-520734,100%
CP179007.1,"Mycoplasmoides pneumoniae strain 87975.fasta chromosome, complete genome",243448->243472,100%,243552<-243572,100%,207932<-207953,95%
,NA,258528->258552,100%,258632<-258652,100%,243507<-243528,100%
,NA,520669->520693,100%,326066<-326086,100%,258587<-258608,100%
,NA,NA,NA,520773<-520793,100%,326021<-326042,95%
,NA,NA,NA,NA,NA,520728<-520749,100%
CP179128.1,"Mycoplasmoides pneumoniae strain 89432.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443269->443293,100%,248474<-248494,100%,180991<-181012,100%
,NA,NA,NA,443373<-443393,100%,248429<-248450,95%
,NA,NA,NA,NA,NA,443328<-443349,100%
CP020689.1,"Mycoplasmoides pneumoniae strain S63-tet-R chromosome, complete genome",165953->165977,100%,166057<-166077,100%,130430<-130451,95%
,NA,181033->181057,100%,181137<-181157,100%,166012<-166033,100%
,NA,443325->443349,100%,248569<-248589,100%,181092<-181113,100%
,NA,NA,NA,443429<-443449,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443384<-443405,100%
CP017328.1,"Mycoplasmoides pneumoniae strain 685 chromosome, complete genome",165940->165964,100%,166044<-166064,100%,130426<-130447,95%
,NA,181020->181044,100%,181124<-181144,100%,165999<-166020,100%
,NA,443157->443181,100%,248560<-248580,100%,181079<-181100,100%
,NA,NA,NA,443261<-443281,100%,248515<-248536,95%
,NA,NA,NA,NA,NA,443216<-443237,100%
CP179024.1,"Mycoplasmoides pneumoniae strain 88071.fasta chromosome, complete genome",165925->165949,100%,166029<-166049,100%,130417<-130438,95%
,NA,181005->181029,100%,181109<-181129,100%,165984<-166005,100%
,NA,443409->443433,100%,248542<-248562,100%,181064<-181085,100%
,NA,NA,NA,443513<-443533,100%,248497<-248518,95%
,NA,NA,NA,NA,NA,443468<-443489,100%
NZ_CP017339.1,"Mycoplasmoides pneumoniae strain 519 chromosome, complete genome",165992->166016,100%,166096<-166116,100%,130423<-130444,95%
,NA,179531->179555,100%,179635<-179655,100%,166051<-166072,100%
,NA,441674->441698,100%,246895<-246915,100%,179590<-179611,100%
,NA,NA,NA,441778<-441798,100%,246850<-246871,95%
,NA,NA,NA,NA,NA,441733<-441754,100%
CP179020.1,"Mycoplasmoides pneumoniae strain 88059.fasta chromosome, complete genome",243437->243461,100%,243541<-243561,100%,207932<-207953,95%
,NA,258517->258541,100%,258621<-258641,100%,243496<-243517,100%
,NA,520656->520680,100%,326053<-326073,100%,258576<-258597,100%
,NA,NA,NA,520760<-520780,100%,326008<-326029,95%
,NA,NA,NA,NA,NA,520715<-520736,100%
CP179107.1,"Mycoplasmoides pneumoniae strain 89230.fasta chromosome, complete genome",243441->243465,100%,243545<-243565,100%,207931<-207952,95%
,NA,258521->258545,100%,258625<-258645,100%,243500<-243521,100%
,NA,520661->520685,100%,326058<-326078,100%,258580<-258601,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
NZ_CP020690.1,"Mycoplasmoides pneumoniae strain FH-tet-R chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130430<-130451,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443268->443292,100%,248565<-248585,100%,181090<-181111,100%
,NA,NA,NA,443372<-443392,100%,248520<-248541,95%
,NA,NA,NA,NA,NA,443327<-443348,100%
NZ_CP017335.1,"Mycoplasmoides pneumoniae strain CO103 chromosome, complete genome",165970->165994,100%,166074<-166094,100%,130387<-130408,95%
,NA,179510->179534,100%,179614<-179634,100%,166029<-166050,100%
,NA,441549->441573,100%,246903<-246923,100%,179569<-179590,100%
,NA,NA,NA,441653<-441673,100%,246858<-246879,95%
,NA,NA,NA,NA,NA,441608<-441629,100%
CP179028.1,"Mycoplasmoides pneumoniae strain 88103.fasta chromosome, complete genome",243435->243459,100%,243539<-243559,100%,207923<-207944,95%
,NA,258515->258539,100%,258619<-258639,100%,243494<-243515,100%
,NA,520653->520677,100%,326050<-326070,100%,258574<-258595,100%
,NA,NA,NA,520757<-520777,100%,326005<-326026,95%
,NA,NA,NA,NA,NA,520712<-520733,100%
CM152633.1,"Mycoplasmoides pneumoniae strain TWMP078_2025 isolate MP078_2025 chromosome, complete sequence, whole genome shotgun sequence",165944->165968,100%,166049<-166069,100%,130425<-130446,95%
,NA,181026->181050,100%,181131<-181151,100%,166004<-166025,100%
,NA,443425->443449,100%,248573<-248593,100%,181086<-181107,100%
,NA,NA,NA,443529<-443549,100%,248528<-248549,95%
,NA,NA,NA,NA,NA,443484<-443505,100%
CM152637.1,"Mycoplasmoides pneumoniae strain TWMP866_2025 isolate MP866_2025 chromosome, complete sequence, whole genome shotgun sequence",165959->165983,100%,166064<-166084,100%,130447<-130468,95%
,NA,181042->181066,100%,181147<-181167,100%,166019<-166040,100%
,NA,443407->443431,100%,443511<-443531,100%,181102<-181123,100%
,NA,NA,NA,NA,NA,443466<-443487,100%
NZ_CP017331.1,"Mycoplasmoides pneumoniae strain FL8 chromosome, complete genome",165941->165965,100%,166045<-166065,100%,130427<-130448,95%
,NA,181021->181045,100%,181125<-181145,100%,166000<-166021,100%
,NA,443339->443363,100%,248556<-248576,100%,181080<-181101,100%
,NA,NA,NA,443443<-443463,100%,248511<-248532,95%
,NA,NA,NA,NA,NA,443398<-443419,100%
NZ_CP010539.1,"Mycoplasmoides pneumoniae 19294 chromosome, complete genome",487159->487183,100%,487263<-487283,100%,451577<-451598,95%
,NA,500701->500725,100%,500805<-500825,100%,487218<-487239,100%
,NA,762868->762892,100%,568099<-568119,100%,500760<-500781,100%
,NA,NA,NA,762972<-762992,100%,568054<-568075,95%
,NA,NA,NA,NA,NA,762927<-762948,100%
CP017339.1,"Mycoplasmoides pneumoniae strain 519 chromosome, complete genome",165992->166016,100%,166096<-166116,100%,130423<-130444,95%
,NA,179531->179555,100%,179635<-179655,100%,166051<-166072,100%
,NA,441674->441698,100%,246895<-246915,100%,179590<-179611,100%
,NA,NA,NA,441778<-441798,100%,246850<-246871,95%
,NA,NA,NA,NA,NA,441733<-441754,100%
CP179139.1,"Mycoplasmoides pneumoniae strain 89685.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520665->520689,100%,326062<-326082,100%,258583<-258604,100%
,NA,NA,NA,520769<-520789,100%,326017<-326038,95%
,NA,NA,NA,NA,NA,520724<-520745,100%
CP179131.1,"Mycoplasmoides pneumoniae strain 89541.fasta chromosome, complete genome",243430->243454,100%,243534<-243554,100%,207920<-207941,95%
,NA,258510->258534,100%,258614<-258634,100%,243489<-243510,100%
,NA,520649->520673,100%,326046<-326066,100%,258569<-258590,100%
,NA,NA,NA,520753<-520773,100%,326001<-326022,95%
,NA,NA,NA,NA,NA,520708<-520729,100%
CP017335.1,"Mycoplasmoides pneumoniae strain CO103 chromosome, complete genome",165970->165994,100%,166074<-166094,100%,130387<-130408,95%
,NA,179510->179534,100%,179614<-179634,100%,166029<-166050,100%
,NA,441549->441573,100%,246903<-246923,100%,179569<-179590,100%
,NA,NA,NA,441653<-441673,100%,246858<-246879,95%
,NA,NA,NA,NA,NA,441608<-441629,100%
CP020690.1,"Mycoplasmoides pneumoniae strain FH-tet-R chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130430<-130451,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443268->443292,100%,248565<-248585,100%,181090<-181111,100%
,NA,NA,NA,443372<-443392,100%,248520<-248541,95%
,NA,NA,NA,NA,NA,443327<-443348,100%
CP179016.1,"Mycoplasmoides pneumoniae strain 88034.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520666->520690,100%,326063<-326083,100%,258583<-258604,100%
,NA,NA,NA,520770<-520790,100%,326018<-326039,95%
,NA,NA,NA,NA,NA,520725<-520746,100%
CP179012.1,"Mycoplasmoides pneumoniae strain 88026.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520671->520695,100%,326068<-326088,100%,258583<-258604,100%
,NA,NA,NA,520775<-520795,100%,326023<-326044,95%
,NA,NA,NA,NA,NA,520730<-520751,100%
CP010539.1,"Mycoplasma pneumoniae 19294, complete genome",487159->487183,100%,487263<-487283,100%,451577<-451598,95%
,NA,500701->500725,100%,500805<-500825,100%,487218<-487239,100%
,NA,762868->762892,100%,568099<-568119,100%,500760<-500781,100%
,NA,NA,NA,762972<-762992,100%,568054<-568075,95%
,NA,NA,NA,NA,NA,762927<-762948,100%
CP179135.1,"Mycoplasmoides pneumoniae strain 89624.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520661->520685,100%,326058<-326078,100%,258579<-258600,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP017331.1,"Mycoplasmoides pneumoniae strain FL8 chromosome, complete genome",165941->165965,100%,166045<-166065,100%,130427<-130448,95%
,NA,181021->181045,100%,181125<-181145,100%,166000<-166021,100%
,NA,443339->443363,100%,248556<-248576,100%,181080<-181101,100%
,NA,NA,NA,443443<-443463,100%,248511<-248532,95%
,NA,NA,NA,NA,NA,443398<-443419,100%
NZ_AP035796.1,"Mycoplasmoides pneumoniae strain TA7750 chromosome, complete genome",166013->166037,100%,166117<-166137,100%,130446<-130467,95%
,NA,179553->179577,100%,179657<-179677,100%,166072<-166093,100%
,NA,441667->441691,100%,246915<-246935,100%,179612<-179633,100%
,NA,NA,NA,441771<-441791,100%,246870<-246891,95%
,NA,NA,NA,NA,NA,441726<-441747,100%
CM152626.1,"Mycoplasmoides pneumoniae strain TWMP199_2025 isolate MP199_2025 chromosome, complete sequence, whole genome shotgun sequence",165979->166003,100%,166084<-166104,100%,130472<-130493,95%
,NA,181061->181085,100%,181165<-181185,100%,166039<-166060,100%
,NA,443447->443471,100%,248611<-248631,100%,181120<-181141,100%
,NA,NA,NA,443551<-443571,100%,248566<-248587,95%
,NA,NA,NA,NA,NA,443506<-443527,100%
CP178932.1,"Mycoplasmoides pneumoniae strain 87324.fasta chromosome, complete genome",243443->243467,100%,243547<-243567,100%,207933<-207954,95%
,NA,258523->258547,100%,258627<-258647,100%,243502<-243523,100%
,NA,520663->520687,100%,326060<-326080,100%,258582<-258603,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
CP179039.1,"Mycoplasmoides pneumoniae strain 88242.fasta chromosome, complete genome",243445->243469,100%,243549<-243569,100%,207933<-207954,95%
,NA,258525->258549,100%,258629<-258649,100%,243504<-243525,100%
,NA,520665->520689,100%,326062<-326082,100%,258584<-258605,100%
,NA,NA,NA,520769<-520789,100%,326017<-326038,95%
,NA,NA,NA,NA,NA,520724<-520745,100%
CP179116.1,"Mycoplasmoides pneumoniae strain 89294.fasta chromosome, complete genome",243447->243471,100%,243551<-243571,100%,207933<-207954,95%
,NA,258527->258551,100%,258631<-258651,100%,243506<-243527,100%
,NA,520668->520692,100%,326065<-326085,100%,258586<-258607,100%
,NA,NA,NA,520772<-520792,100%,326020<-326041,95%
,NA,NA,NA,NA,NA,520727<-520748,100%
NZ_CP020689.1,"Mycoplasmoides pneumoniae strain S63-tet-R chromosome, complete genome",165953->165977,100%,166057<-166077,100%,130430<-130451,95%
,NA,181033->181057,100%,181137<-181157,100%,166012<-166033,100%
,NA,443325->443349,100%,248569<-248589,100%,181092<-181113,100%
,NA,NA,NA,443429<-443449,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443384<-443405,100%
CP179031.1,"Mycoplasmoides pneumoniae strain 88186.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520654->520678,100%,326051<-326071,100%,258581<-258602,100%
,NA,NA,NA,520758<-520778,100%,326006<-326027,95%
,NA,NA,NA,NA,NA,520713<-520734,100%
NZ_CP017328.1,"Mycoplasmoides pneumoniae strain 685 chromosome, complete genome",165940->165964,100%,166044<-166064,100%,130426<-130447,95%
,NA,181020->181044,100%,181124<-181144,100%,165999<-166020,100%
,NA,443157->443181,100%,248560<-248580,100%,181079<-181100,100%
,NA,NA,NA,443261<-443281,100%,248515<-248536,95%
,NA,NA,NA,NA,NA,443216<-443237,100%
CP179035.1,"Mycoplasmoides pneumoniae strain 88198.fasta chromosome, complete genome",243445->243469,100%,243549<-243569,100%,207932<-207953,95%
,NA,258526->258550,100%,258630<-258650,100%,243504<-243525,100%
,NA,520663->520687,100%,326060<-326080,100%,258585<-258606,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
CP179112.1,"Mycoplasmoides pneumoniae strain 89264.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520660->520684,100%,326058<-326078,100%,258581<-258602,100%
,NA,NA,NA,520764<-520784,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
AP012303.1,"Mycoplasma pneumoniae 309 DNA, complete genome",166022->166046,100%,166126<-166146,100%,130459<-130480,95%
,NA,179562->179586,100%,179666<-179686,100%,166081<-166102,100%
,NA,441630->441654,100%,246925<-246945,100%,179621<-179642,100%
,NA,NA,NA,441734<-441754,100%,246880<-246901,95%
,NA,NA,NA,NA,NA,441689<-441710,100%
NZ_CP010541.1,"Mycoplasmoides pneumoniae 51494 chromosome, complete genome",165937->165961,100%,166041<-166061,100%,130427<-130448,95%
,NA,181018->181042,100%,181122<-181142,100%,165996<-166017,100%
,NA,443243->443267,100%,248555<-248575,100%,181077<-181098,100%
,NA,NA,NA,443347<-443367,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443302<-443323,100%
CP179183.1,"Mycoplasmoides pneumoniae strain 90397.fasta chromosome, complete genome",165922->165946,100%,166026<-166046,100%,130416<-130437,95%
,NA,181002->181026,100%,181106<-181126,100%,165981<-166002,100%
,NA,443408->443432,100%,248538<-248558,100%,181061<-181082,100%
,NA,NA,NA,443512<-443532,100%,248493<-248514,95%
,NA,NA,NA,NA,NA,443467<-443488,100%
NZ_CP039763.1,"Mycoplasmoides pneumoniae strain 16-462 chromosome, complete genome",165951->165975,100%,166055<-166075,100%,130441<-130462,95%
,NA,181031->181055,100%,181135<-181155,100%,166010<-166031,100%
,NA,443371->443395,100%,248565<-248585,100%,181090<-181111,100%
,NA,NA,NA,443475<-443495,100%,248520<-248541,95%
,NA,NA,NA,NA,NA,443430<-443451,100%
NZ_CP039767.1,"Mycoplasmoides pneumoniae strain 16-002 chromosome, complete genome",165912->165936,100%,166016<-166036,100%,130402<-130423,95%
,NA,180992->181016,100%,181096<-181116,100%,165971<-165992,100%
,NA,443367->443391,100%,248524<-248544,100%,181051<-181072,100%
,NA,NA,NA,443471<-443491,100%,248479<-248500,95%
,NA,NA,NA,NA,NA,443426<-443447,100%
CP179177.1,"Mycoplasmoides pneumoniae strain 90374.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207924<-207945,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520661->520685,100%,326058<-326078,100%,258579<-258600,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
NZ_CP010545.1,"Mycoplasmoides pneumoniae 85138 chromosome, complete genome",165970->165994,100%,166074<-166094,100%,130451<-130472,95%
,NA,181050->181074,100%,181154<-181174,100%,166029<-166050,100%
,NA,443223->443247,100%,248583<-248603,100%,181109<-181130,100%
,NA,NA,NA,443327<-443347,100%,248538<-248559,95%
,NA,NA,NA,NA,NA,443282<-443303,100%
CP179050.1,"Mycoplasmoides pneumoniae strain 88429.fasta chromosome, complete genome",165964->165988,100%,166068<-166088,100%,130452<-130473,95%
,NA,181044->181068,100%,181148<-181168,100%,166023<-166044,100%
,NA,443365->443389,100%,248630<-248650,100%,181103<-181124,100%
,NA,NA,NA,443469<-443489,100%,248585<-248606,95%
,NA,NA,NA,NA,NA,443424<-443445,100%
CP179187.1,"Mycoplasmoides pneumoniae strain 90401.fasta chromosome, complete genome",243432->243456,100%,243536<-243556,100%,207920<-207941,95%
,NA,258512->258536,100%,258616<-258636,100%,243491<-243512,100%
,NA,520653->520677,100%,326050<-326070,100%,258571<-258592,100%
,NA,NA,NA,520757<-520777,100%,326005<-326026,95%
,NA,NA,NA,NA,NA,520712<-520733,100%
CP178957.1,"Mycoplasmoides pneumoniae strain 87458.fasta chromosome, complete genome",165937->165961,100%,166041<-166061,100%,130429<-130450,95%
,NA,181017->181041,100%,181121<-181141,100%,165996<-166017,100%
,NA,443352->443376,100%,248557<-248577,100%,181076<-181097,100%
,NA,NA,NA,443456<-443476,100%,248512<-248533,95%
,NA,NA,NA,NA,NA,443411<-443432,100%
CM152643.1,"Mycoplasmoides pneumoniae strain TWMP934_2025 isolate MP934_2025 chromosome, complete sequence, whole genome shotgun sequence",165921->165945,100%,166026<-166046,100%,130408<-130429,95%
,NA,181004->181028,100%,181109<-181129,100%,165981<-166002,100%
,NA,443427->443451,100%,248554<-248574,100%,181064<-181085,100%
,NA,NA,NA,443531<-443551,100%,248509<-248530,95%
,NA,NA,NA,NA,NA,443486<-443507,100%
NZ_CP017341.1,"Mycoplasmoides pneumoniae strain 1801 chromosome, complete genome",165981->166005,100%,166085<-166105,100%,130410<-130431,95%
,NA,179521->179545,100%,179625<-179645,100%,166040<-166061,100%
,NA,441590->441614,100%,246909<-246929,100%,179580<-179601,100%
